latitude,longitude,time,t2m,u10,v10,tp
41.581,-72.82753,1979-01-01 01:00:00,277.0758,-0.7881174,2.5930824,4.571375e-05
41.581,-72.82753,1979-01-02 01:00:00,283.61115,1.5472617,3.997674,7.614157e-05
41.581,-72.82753,1979-01-03 01:00:00,283.85278,0.6026122,1.5815754,0.0019906189
41.581,-72.82753,1979-01-04 01:00:00,264.10974,2.76441,-0.58751297,0.0
41.581,-72.82753,1979-01-05 01:00:00,267.1809,2.0630188,1.3369995,0.0
41.581,-72.82753,1979-01-06 01:00:00,266.36157,0.7237985,-0.09483862,0.0
41.581,-72.82753,1979-01-07 01:00:00,270.95166,0.6655166,-0.81729984,2.1046666e-05
41.581,-72.82753,1979-01-08 01:00:00,274.97803,-0.35538578,2.1045485,0.0021543023
41.581,-72.82753,1979-01-09 01:00:00,271.92224,1.9767628,-2.04535,0.00015258898
41.581,-72.82753,1979-01-10 01:00:00,266.52734,2.8386405,0.9841581,0.0
41.581,-72.82753,1979-01-11 01:00:00,265.9939,2.5371628,0.634407,0.0
41.581,-72.82753,1979-01-12 01:00:00,261.14752,0.5406008,-1.6038122,0.0
41.581,-72.82753,1979-01-13 01:00:00,266.2893,-1.4588022,-0.71327686,0.00015102874
41.581,-72.82753,1979-01-14 01:00:00,273.96667,-2.1720133,-2.1179295,0.00014192318
41.581,-72.82753,1979-01-15 01:00:00,275.09192,3.8573256,-0.28794003,4.579866e-06
41.581,-72.82753,1979-01-16 01:00:00,266.011,2.3022025,0.5759878,0.0
41.581,-72.82753,1979-01-17 01:00:00,268.52075,1.6201272,-1.0654078,0.0
41.581,-72.82753,1979-01-18 01:00:00,272.85107,1.055567,1.4852552,0.00028460583
41.581,-72.82753,1979-01-19 01:00:00,260.19434,1.8040571,-4.408555,0.0
41.581,-72.82753,1979-01-20 01:00:00,262.10156,0.9022596,-1.2457428,0.0
41.581,-72.82753,1979-01-21 01:00:00,269.11377,-1.3337975,-0.05662602,0.0015552676
41.581,-72.82753,1979-01-22 01:00:00,280.4579,2.8652382,3.3504667,0.0002870708
41.581,-72.82753,1979-01-23 01:00:00,271.57983,3.2136135,-0.789978,1.2774763e-07
41.581,-72.82753,1979-01-24 01:00:00,270.16687,0.76319695,1.2277193,0.0
41.581,-72.82753,1979-01-25 01:00:00,275.47327,-5.5843306,-0.70569324,0.0016960816
41.581,-72.82753,1979-01-26 01:00:00,273.83844,1.7937549,-2.1610727,0.0008731931
41.581,-72.82753,1979-01-27 01:00:00,274.41718,1.1536674,-1.9628763,0.00019797492
41.581,-72.82753,1979-01-28 01:00:00,274.55908,2.043479,-1.7483683,0.0
41.581,-72.82753,1979-01-29 01:00:00,274.88397,1.9225817,-2.087904,2.9757757e-06
41.581,-72.82753,1979-01-30 01:00:00,273.08313,3.3767319,-3.4113169,1.1385282e-08
41.581,-72.82753,1979-01-31 01:00:00,270.79736,2.436946,-2.382248,1.268163e-07
41.581,-72.82753,1979-02-01 01:00:00,269.5221,1.8629403,-1.6066284,2.0855077e-07
41.581,-72.82753,1979-02-02 01:00:00,265.27954,3.1192322,-3.4360514,2.0124753e-07
41.581,-72.82753,1979-02-03 01:00:00,265.17688,2.745798,-2.8801422,6.414484e-08
41.581,-72.82753,1979-02-04 01:00:00,267.9414,1.856361,-2.0465393,0.0
41.581,-72.82753,1979-02-05 01:00:00,271.29858,2.2144747,1.3906827,5.956135e-07
41.581,-72.82753,1979-02-06 01:00:00,263.14844,4.66716,-2.249879,1.6536251e-07
41.581,-72.82753,1979-02-07 01:00:00,263.5481,2.2344055,-1.2636871,0.0
41.581,-72.82753,1979-02-08 01:00:00,267.6864,-1.0222635,-1.356369,0.0010343915
41.581,-72.82753,1979-02-09 01:00:00,265.9286,2.2852535,-1.0817423,1.1385282e-08
41.581,-72.82753,1979-02-10 01:00:00,258.9912,2.0764217,-2.5640678,0.0
41.581,-72.82753,1979-02-11 01:00:00,258.4937,2.5018167,-2.0936737,0.0
41.581,-72.82753,1979-02-12 01:00:00,254.8755,1.404693,-1.419074,0.0
41.581,-72.82753,1979-02-13 01:00:00,261.0863,0.7968141,-0.50208664,0.00017472214
41.581,-72.82753,1979-02-14 01:00:00,256.57007,1.9668941,-2.4882202,0.0
41.581,-72.82753,1979-02-15 01:00:00,257.3058,1.8206937,-0.9782419,0.0
41.581,-72.82753,1979-02-16 01:00:00,261.3728,0.40294075,-1.7276917,0.0
41.581,-72.82753,1979-02-17 01:00:00,261.26367,1.292968,-3.0420198,0.0
41.581,-72.82753,1979-02-18 01:00:00,255.56186,1.5406872,-2.7278452,0.0
41.581,-72.82753,1979-02-19 01:00:00,260.86035,0.6012564,1.3771954,0.0
41.581,-72.82753,1979-02-20 01:00:00,265.74695,0.49440002,-2.0837622,0.0
41.581,-72.82753,1979-02-21 01:00:00,269.14368,1.4840804,1.8015757,0.0
41.581,-72.82753,1979-02-22 01:00:00,276.91986,2.0891895,2.3123903,5.852855e-06
41.581,-72.82753,1979-02-23 01:00:00,273.45923,1.0570433,-2.0638437,0.0
41.581,-72.82753,1979-02-24 01:00:00,274.17285,-1.8914948,1.8105459,6.138797e-06
41.581,-72.82753,1979-02-25 01:00:00,276.5404,-0.5309696,-2.3928528,0.0015816872
41.581,-72.82753,1979-02-26 01:00:00,274.27325,-3.2817993,-3.0602446,9.633365e-05
41.581,-72.82753,1979-02-27 01:00:00,272.00793,-1.8902445,-2.5232859,9.309529e-05
41.581,-72.82753,1979-02-28 01:00:00,273.2456,2.29819,-2.0844364,2.5846557e-06
41.581,-72.82753,1979-03-01 01:00:00,274.8855,1.482125,-1.2546091,0.0
41.581,-72.82753,1979-03-02 01:00:00,275.33588,-1.2686005,1.2147853,0.0
41.581,-72.82753,1979-03-03 01:00:00,275.91803,-0.5860138,-1.7298899,6.795631e-07
41.581,-72.82753,1979-03-04 01:00:00,273.583,-0.5967264,1.5150933,0.0
41.581,-72.82753,1979-03-05 01:00:00,280.219,-0.71925354,2.5229769,7.1102986e-05
41.581,-72.82753,1979-03-06 01:00:00,282.13257,-0.3586445,2.8826504,5.5483848e-05
41.581,-72.82753,1979-03-07 01:00:00,281.18127,-0.51735586,2.492158,0.001540997
41.581,-72.82753,1979-03-08 01:00:00,279.84485,-0.1788317,-2.3656893,0.0
41.581,-72.82753,1979-03-09 01:00:00,277.1239,0.68386465,-2.1965485,0.0
41.581,-72.82753,1979-03-10 01:00:00,276.72327,-0.42611408,-0.6242981,0.0
41.581,-72.82753,1979-03-11 01:00:00,278.3902,-0.113098085,1.4993644,0.00069702324
41.581,-72.82753,1979-03-12 01:00:00,269.5542,3.4552794,-2.8217773,7.1648856e-08
41.581,-72.82753,1979-03-13 01:00:00,270.70374,3.07088,-1.9652567,0.0
41.581,-72.82753,1979-03-14 01:00:00,276.29785,1.1112186,3.4021626,0.0
41.581,-72.82753,1979-03-15 01:00:00,279.36,2.5327635,-0.2586813,0.0
41.581,-72.82753,1979-03-16 01:00:00,267.0526,2.8541107,-2.7474213,0.0
41.581,-72.82753,1979-03-17 01:00:00,272.21558,0.52650166,0.4195938,0.0
41.581,-72.82753,1979-03-18 01:00:00,273.281,-0.34350014,-2.12259,0.0
41.581,-72.82753,1979-03-19 01:00:00,273.0193,-0.06308079,-2.4058685,0.0
41.581,-72.82753,1979-03-20 01:00:00,276.65955,0.5742565,-2.833211,0.0
41.581,-72.82753,1979-03-21 01:00:00,277.67517,0.16265494,-3.7549477,0.0
41.581,-72.82753,1979-03-22 01:00:00,279.79962,0.12554836,0.10023689,0.0
41.581,-72.82753,1979-03-23 01:00:00,282.59363,0.6411896,-2.0703363,0.0
